center,sigma,support,input_variable,term_index
0.0,0.6946474477161942,36757,0,0
0.704225352112676,0.8399814782727879,1134,0,1
0.0,0.6902463717767565,37090,1,0
0.7066666666666667,0.8394888205183733,801,1,1
0.0103092783505154,0.6959679596643824,33181,2,0
0.6391752577319587,0.7879222755785883,4710,2,1
0.0181818181818181,0.6932142475300532,35067,3,0
0.6,0.7536320030487276,2824,3,1
0.5569059518400726,0.6988574181715305,25614,4,0
1.0,0.6594057897263634,9415,4,1
0.0572467060427078,0.6989773319358015,2862,4,2
0.5909090909090909,0.6995740112688609,35585,5,0
0.0,0.7631716486569392,2306,5,1
0.6209677419354839,0.6995740112688609,34226,6,0
0.1935483870967742,0.6487984781928953,3665,6,1
0.5909090909090909,0.6995740112688609,34063,7,0
0.0,0.7631716486569392,3828,7,1
0.3219178082191781,0.6947824084519509,32605,8,0
0.7397260273972602,0.6396789760574858,5286,8,1
0.3417721518987341,0.6907186440376096,35589,9,0
0.759493670886076,0.6375864406501013,2302,9,1
0.4166666666666667,0.6950895624786759,19359,10,0
0.0,0.6390339526013633,17890,10,1
0.8333333333333334,0.6390339526013633,642,10,2
0.4203821656050955,0.6951181258467664,18325,11,0
0.0,0.6416475007816305,19066,11,1
0.8407643312101911,0.6416475007816305,500,11,2
0.0,0.6891326221070746,31476,12,0
0.417910447761194,0.6369255993450016,6352,12,1
0.8059701492537313,0.5899392816574319,63,12,2
1.0833347519859848e-05,0.6995740112688611,37835,13,0
0.5137366846551823,0.7091762601262424,43,13,1
0.9962036855048264,0.6921095051523636,13,13,2
0.2802498569521266,0.6995539967539477,37702,14,0
0.8565802021743276,0.7529627298000364,189,14,1
0.0,0.6995740252603411,37459,15,0
0.5120748368013373,0.7080212602811293,348,15,1
1.0,0.6953503937584667,84,15,2
0.0,0.699527644406661,37850,16,0
0.9888783915933236,1.0415574452673713,41,16,1
0.0145694074891297,0.699528610917685,37671,17,0
0.6837237977805178,0.8178873264331579,220,17,1
0.0011671335200746,0.699574011268861,37808,18,0
0.6734193677470989,0.8200771977170838,83,18,1
0.0351522036956594,0.6994571311921295,37295,19,0
0.5967186821265078,0.7425858795060616,596,19,1
0.0050889319873356,0.6995276258022362,37817,20,0
0.681452749183616,0.8229303615742385,74,20,1
0.0005857544517338,0.699574011268861,37848,21,0
0.6726134690052216,0.8199201295884591,43,21,1
0.0096618357487922,0.699574011268861,37794,22,0
0.5348820687695368,0.7172174308483187,75,22,1
1.0,0.6839931322881287,22,22,2
