center,sigma,support,input_variable,term_index
0.0,0.6726673325192312,20959,0,0
0.4230769230769231,0.632307286411826,1540,0,1
0.8076923076923077,0.5852205706170134,691,0,2
0.0,0.6995740252603411,22941,1,0
0.9705882352941176,1.0287853176852413,249,1,1
0.0459770114942528,0.6975637411215366,22509,2,0
0.8620689655172413,0.9196985924008731,681,2,1
0.0597826086956521,0.6957719785989216,22788,3,0
0.8478260869565217,0.8991807264406827,402,3,1
0.4948145604395604,0.699574011268861,17866,4,0
1.0,0.7032016100223499,4161,4,1
0.0038431513841349,0.6932578436856593,1163,4,2
0.5609756097560976,0.6995740112688609,14042,5,0
1.0,0.656917059362223,5958,5,1
0.0,0.7422309631754989,3190,5,2
1.0,0.6995740112688609,5287,6,0
0.4524590163934426,0.7328324478701675,17344,6,1
0.0,0.6829447929682078,559,6,2
1.0,0.6995740112688609,11018,7,0
0.0,1.0493610169032914,12172,7,1
0.0,0.6971020322876598,7258,8,0
0.5901060070671378,0.7613738425816383,15932,8,1
0.0,0.6948788976679328,13703,9,0
0.5100671140939598,0.7042691458570096,8901,9,1
0.9328859060402684,0.6479276112502379,586,9,2
0.5061728395061729,0.6974148322217348,13349,10,0
0.0246913580246913,0.6855393474625413,9786,10,1
0.9228395061728396,0.6401965874728929,55,10,2
0.0339506172839506,0.6974148322217348,11456,11,0
0.4876543209876543,0.6661067360384062,11694,11,1
0.9228395061728396,0.6374976136639853,40,11,2
0.0,0.6783748127976484,16872,12,0
0.4242424242424242,0.6359763808765229,6282,12,1
0.0168514881757352,0.6995740112688609,23179,13,0
0.6180348946145011,0.7703592927850759,11,13,1
0.1287986946767285,0.6994313284193263,22894,14,0
0.9408816759418432,0.9178278128964747,296,14,1
0.2376245545243547,0.699574011268861,23112,15,0
1.0,0.8831250541187126,78,15,1
0.0,0.6995258020569726,23174,16,0
0.9972082442958572,1.0473838725609173,16,16,1
0.028735632183908,0.6994304205440521,23044,17,0
0.9936844764430972,1.0247683439196784,146,17,1
0.0048649276902385,0.699574011268861,23138,18,0
0.8441728792734156,0.9369450360133247,52,18,1
0.0406263909683162,0.699574011268861,22940,19,0
0.693339537895035,0.8064081600378765,250,19,1
0.011870414640178,0.6995278766378318,23131,20,0
0.8584288187288764,0.941994196840612,59,20,1
0.0023210379548149,0.699574011268861,23160,21,0
0.8413512114482274,0.9367507096808254,30,21,1
0.0174113698342773,0.699574011268861,22997,22,0
0.4609967334951602,0.6601077978308307,178,22,1
0.0324159783537453,0.6995589095494359,23044,23,0
0.9966662677764734,1.0243438976133359,146,23,1
0.0065807685133041,0.699574011268861,23123,24,0
0.8382900656696173,0.9316292148556775,67,24,1
0.0252721022387962,0.6995489884346364,23086,25,0
0.4457574340309941,0.6439351044589039,78,25,1
1.0,0.7097012473203357,26,25,2
0.0003534817956875,0.699574011268861,23189,26,0
1.0,1.0491137302255718,1,26,1
0.0028847900723734,0.699574011268861,23149,27,0
0.775970931493593,0.8906179786448389,41,27,1
0.0004797178432227,0.699574011268861,23189,28,0
1.0,1.0490254187674308,1,28,1
0.0007213587776247,0.699574011268861,23189,29,0
1.0,1.0488563730496645,1,29,1
0.0035575984636211,0.699529961650672,23070,30,0
0.9887447659226144,1.038976319415231,120,30,1
0.0,0.6995740252603411,23138,31,0
0.8434257060786691,0.9398257170388964,52,31,1
0.007799827437446,0.699525723157643,21513,32,0
0.5214840379637619,0.7091229852621943,1661,32,1
0.9974460742018982,0.6875321635339051,16,32,2
0.0005233201854542,0.699574011268861,23188,33,0
1.0,1.0489949157019753,2,33,1
0.0,0.6995740252603411,23156,34,0
1.0,1.0493610238990314,34,34,1
0.0005233201854542,0.699574011268861,23188,35,0
1.0,1.0489949157019753,2,35,1
0.0,0.6995257754492322,23174,36,0
0.9974480998689564,1.0475516559824454,16,36,1
0.0,0.6995740252603411,23165,37,0
0.9998709510904632,1.049270744635737,25,37,1
0.0,0.6995257754492322,23174,38,0
0.9974480998689564,1.0475516559824454,16,38,1
0.0,0.6995740252603411,23187,39,0
1.0,1.0493610238990314,3,39,1
0.0,0.6995740252603411,23165,40,0
1.0,1.0493610238990314,25,40,1
0.0,0.6995740252603411,23162,41,0
0.9289772727272728,0.9996753696895954,28,41,1
0.1669496321448783,0.6979903689117158,22996,42,0
0.8947368421052632,0.858136202278017,194,42,1
0.0141482739105829,0.697990368911716,23000,43,0
0.8947368421052632,0.9650320613853133,190,43,1
0.0,0.693096488118963,23004,44,0
0.8611111111111112,0.9489591982076673,186,44,1
0.0,0.693096488118963,23026,45,0
0.8611111111111112,0.9489591982076673,164,45,1
0.0,0.6849995666922399,22939,46,0
0.4166666666666667,0.6339889547081454,195,46,1
0.8645833333333334,0.6303453365682501,56,46,2
0.010291394600916,0.6995740112688611,23138,47,0
1.0,1.042161424700778,52,47,1
0.014389209594809,0.699562336115677,22696,48,0
0.4520217824128545,0.6559375424860705,442,48,1
0.9731307962797,0.6925230943822248,52,48,2
0.0066371681415929,0.6980262811554344,12270,49,0
0.6570796460176991,0.8040457939251622,10920,49,1
0.592057761732852,0.6970484733220419,12228,50,0
0.0,0.7627124599393358,10962,50,1
0.093961761858664,0.6995740112688609,22982,51,0
0.7350556631171346,0.7982796377378217,208,51,1
0.1390134529147982,0.6964369080793146,22930,52,0
0.8834080717488789,0.86897758350437,260,52,1
0.5061728395061729,0.6974148322217348,13349,53,0
0.0246913580246913,0.6855393474625413,9786,53,1
0.9228395061728396,0.6401965874728929,55,53,2
0.4144144144144144,0.6964227769838662,22285,54,0
0.8333333333333334,0.641276176996456,905,54,1
0.0339506172839506,0.6974148322217348,11456,55,0
0.4876543209876543,0.6661067360384062,11694,55,1
0.9228395061728396,0.6374976136639853,40,55,2
0.0558375634517766,0.6960228741558212,13201,56,0
0.6903553299492385,0.7919035762078985,9989,56,1
0.1587911410262258,0.6995740112688609,18729,57,0
1.0,0.9382748614216152,4461,57,1
0.9211482558139534,0.6995740112688609,22101,58,0
0.4971755417421701,0.6463872978861738,1063,58,1
0.077624797165781,0.6167004462572288,26,58,2
0.0668730650154798,0.699574011268861,22289,59,0
0.8780185758513932,0.9172433243726397,901,59,1
0.5882284583510412,0.6995740112688609,1161,60,0
0.1354939282255648,0.666508316914233,22029,60,1
0.16875,0.699574011268861,23189,61,0
1.0,0.9313079025016711,1,61,1
0.7731336650320852,0.6980964663730214,1542,62,0
0.2620431137780708,0.706593900248895,21648,62,1
0.7953821656050954,0.699574011268861,954,63,0
0.3640514831023583,0.6515347413762058,22236,63,1
0.4269490151045838,0.6995740112688609,3881,64,0
0.0045822745018451,0.6452638005844429,19202,64,1
0.8488944670634638,0.6449690779979567,107,64,2
0.1528426791277258,0.699574011268861,23188,65,0
1.0,0.942436250772829,2,65,1
0.5148803129501982,0.6995740112688609,1716,66,0
0.0748652691358306,0.6576100948542911,21346,66,1
0.9836797372684044,0.6777468993852507,128,66,2
0.1528426791277258,0.699574011268861,23188,67,0
1.0,0.942436250772829,2,67,1
0.25,0.6995740112688609,1213,68,0
0.875,0.7870207626774686,21977,68,1
0.0229885057471264,0.699574011268861,2744,69,0
0.5977011494252874,0.7518410350992932,20446,69,1
0.0,0.6995740252603411,21420,70,0
1.0,1.0493610238990314,1770,70,1
0.0,0.6995740252603411,16062,71,0
1.0,1.0493610238990314,7128,71,1
0.489685747114726,0.6987331306529396,4058,72,0
0.9356686930091184,0.6613646437433133,18871,72,1
0.0509613869188337,0.6562867258300749,261,72,2
0.6101699573337976,0.69830156292867,23075,73,0
0.0932961026521911,0.7107422973039448,115,73,1
0.3214285714285714,0.6960047561093261,20017,74,0
0.7704081632653061,0.6620968320937435,3173,74,1
0.2416666666666666,0.6937442278416206,23007,75,0
0.8416666666666667,0.7666165206821269,183,75,1
0.8423913043478262,0.699574011268861,20602,76,0
0.0,0.9391020694750472,2588,76,1
0.9115853658536586,0.6995740112688609,20006,77,0
0.0,0.9875084366386665,3184,77,1
0.0337078651685393,0.6956438201943167,12127,78,0
0.449438202247191,0.6386560496134264,9276,78,1
0.8314606741573034,0.5865810178757163,1787,78,2
0.0416666666666666,0.6937442278416206,22991,79,0
0.8416666666666667,0.9065313229358991,199,79,1
0.6875,0.6995740112688609,23093,80,0
0.0,0.8307441383817724,97,80,1
0.7727272727272727,0.6995740112688609,20363,81,0
0.0,0.8903669234330956,2827,81,1
0.6875,0.6995740112688609,23173,82,0
0.7727272727272727,0.6995740112688609,21268,83,0
0.0,0.8903669234330956,1922,83,1
0.0,0.6951463416447153,23091,84,0
0.8164556962025317,0.9187443572380734,99,84,1
0.0,0.6955302448483824,20472,85,0
0.4161849710982659,0.6389173120852201,1765,85,1
0.815028901734104,0.5984795044677627,953,85,2
0.0,0.6995740252603411,23151,86,0
0.5447154471544715,0.7308557829961354,26,86,1
1.0,0.6839331324009638,13,86,2
0.0,0.6945046483670886,21562,87,0
0.4202898550724637,0.6412761839921959,1503,87,1
0.8913043478260869,0.650147590057518,125,87,2
0.0,0.6951463416447153,23093,88,0
0.8164556962025317,0.9187443572380734,97,88,1
0.0,0.6955302448483824,20660,89,0
0.4161849710982659,0.6389173120852201,1768,89,1
0.815028901734104,0.5984795044677627,762,89,2
0.0,0.6995740252603411,23151,90,0
0.5447154471544715,0.7308557829961354,26,90,1
1.0,0.6839331324009638,13,90,2
0.0,0.6995740252603411,21717,91,0
0.4384615384615384,0.6565233098788249,1278,91,1
0.8307692307692308,0.602709920898735,195,91,2
0.0065922434719915,0.6995740112688611,23055,92,0
0.4483576915259567,0.6588346321695286,110,92,1
0.99978831190247,0.7151838471180382,25,92,2
0.0,0.6935947602067613,23109,93,0
0.811965811965812,0.9148275601934814,81,93,1
0.0,0.6954588840175833,21733,94,0
0.4941176470588235,0.693401306400464,1414,94,1
0.9117647058823528,0.6388756814360503,43,94,2
0.0,0.6954588840175833,21917,95,0
0.4941176470588235,0.693401306400464,1234,95,1
0.9117647058823528,0.6388756814360503,39,95,2
0.2435844370860927,0.699574011268861,3609,96,0
0.8370797249108507,0.7649808848071636,19581,96,1
0.5,0.6995740112688611,4267,97,0
0.0,0.6995740112688611,244,97,1
1.0,0.6995740112688611,18679,97,2
0.0,0.6995740252603411,23041,98,0
0.6052631578947368,0.7732133878718495,149,98,1
0.0,0.6995740252603411,23061,99,0
0.4230769230769231,0.6457606327823809,74,99,1
0.8269230769230769,0.6054005901728459,55,99,2
0.0,0.6995740252603411,23067,100,0
0.6052631578947368,0.7732133878718495,123,100,1
0.0,0.6995740252603411,23125,101,0
0.7884615384615384,0.9013742138229263,65,101,1
0.0,0.6995740252603411,23096,102,0
0.7555555555555555,0.8783540433666432,94,102,1
0.0,0.6995740252603411,23112,103,0
0.7555555555555555,0.8783540433666432,78,103,1
0.0,0.6995740252603411,4755,104,0
0.75,0.8744675210818162,18435,104,1
0.0,0.6995740252603411,18499,105,0
0.4444444444444444,0.6607087954163309,2476,105,1
0.8888888888888888,0.6412761804943259,2215,105,2
0.0,0.6995740252603411,20415,106,0
0.5833333333333334,0.7578718525370061,2775,106,1
0.0,0.6995740252603411,19522,107,0
0.4444444444444444,0.6607087954163309,3526,107,1
0.8888888888888888,0.6412761804943259,142,107,2
0.375,0.699574011268861,4210,108,0
0.875,0.699574011268861,18980,108,1
0.0,0.6995740252603411,8949,109,0
0.75,0.8744675210818162,14241,109,1
0.5,0.6995740112688611,12949,110,0
1.0,0.6995740112688611,9122,110,1
0.0,0.6995740112688611,1119,110,2
0.5,0.6995740112688611,6647,111,0
1.0,0.6995740112688611,15815,111,1
0.0,0.6995740112688611,728,111,2
0.6470588235294118,0.6995740112688609,22526,112,0
0.2,0.6625377400840389,664,112,1
0.5,0.6995740112688611,14993,113,0
1.0,0.6995740112688611,5987,113,1
0.0,0.6995740112688611,2210,113,2
0.0,0.6995740252603411,14536,114,0
1.0,1.0493610238990314,8654,114,1
0.5,0.6995740112688611,15623,115,0
1.0,0.6995740112688611,6241,115,1
0.0,0.6995740112688611,1326,115,2
0.5,0.6995740112688611,10415,116,0
1.0,0.6995740112688611,11319,116,1
0.0,0.6995740112688611,1456,116,2
0.5,0.6995740112688611,7992,117,0
1.0,0.6995740112688611,14235,117,1
0.0,0.6995740112688611,963,117,2
0.3846153846153846,0.699574011268861,1412,118,0
0.8181818181818182,0.6530988147160346,21778,118,1
0.5,0.6995740112688611,7873,119,0
1.0,0.6995740112688611,13159,119,1
0.0,0.6995740112688611,2158,119,2
0.0,0.6995740252603411,11158,120,0
0.75,0.8744675210818162,12032,120,1
0.5,0.6995740112688611,7713,121,0
1.0,0.6995740112688611,14021,121,1
0.0,0.6995740112688611,1456,121,2
0.5,0.6995740112688611,7963,122,0
0.9285714285714286,0.649604439035371,14446,122,1
0.0,0.6995740112688611,781,122,2
0.5,0.6995740112688611,6521,123,0
1.0,0.6995740112688611,16253,123,1
0.0,0.6995740112688611,416,123,2
0.5050505050505051,0.6995740112688609,3422,124,0
0.935720844811754,0.6510727827557306,19401,124,1
0.0036730945821855,0.700537611835347,367,124,2
0.5,0.6995740112688611,11017,125,0
1.0,0.6995740112688611,10483,125,1
0.0,0.6995740112688611,1690,125,2
0.0,0.6995740252603411,12855,126,0
0.875,0.9619142724904238,10335,126,1
0.5,0.6995740112688611,11734,127,0
1.0,0.6995740112688611,10650,127,1
0.0,0.6995740112688611,806,127,2
0.6684782608695653,0.6992749628171929,22934,128,0
0.0072510473735094,0.8122148555141638,256,128,1
