feat,min_val,max_val
ntellsSinceElicit,0.0,62.0
ntellsSinceElicitKC,0.0,38.0
nElicitSinceTell,0.0,384.0
nElicitSinceTellKC,0.0,203.0
pctElicit,0.110497238,1.0
pctElicitKC,0.0,1.0
pctElicitSession,0.0,1.0
pctElicitKCSession,0.0,1.0
nTellSession,0.0,322.0
nTellKCSession,0.0,166.0
kcOrdering,1.0,361.0
kcOrderingSession,1.0,361.0
kcOrderingPb,1.0,50.0
durationKCBetweenDecision,-28851.0,584300.0
timeInSession,-28677.0,69521.0
timeBetweenSession,0.0,1287388.0
timeOnCurrentProblem,0.0,23385.0
timeOnTutoring,796.0,65176.0
timeOnTutoringWE,0.0,60242.0
timeOnTutoringPS,601.0,52998.0
timeOnTutoringKC,0.0,60693.0
timeOnTutoringKCWE,0.0,59893.0
timeOnTutoringKCPS,0.0,43541.0
avgTimeOnStep,2.2596685080000003,195.51359516616313
avgTimeOnStepWE,-1.0,409.7074829931974
avgTimeOnStepPS,4.981884057971015,405.8387096774193
avgTimeOnStepKC,-1.0,14486.0
avgTimeOnStepKCWE,-1.0,1919.0
avgTimeOnStepKCPS,-1.0,15248.0
timeOnLastStepKCPS,-1.0,28901.0
timeOnTutoringSession,0.0,63738.0
timeOnTutoringSessionWE,0.0,60242.0
timeOnTutoringSessionPS,0.0,52998.0
avgTimeOnStepSession,-1.0,2478.555556
avgTimeOnStepSessionWE,-1.0,2229.0
avgTimeOnStepSessionPS,-1.0,4438.8
timeOnTutoringProblem,0.0,23198.0
timeOnTutoringProblemWE,0.0,2612.0
timeOnTutoringProblemPS,0.0,23002.0
avgTimeOnStepProblem,-1.0,4446.0
avgTimeOnStepProblemWE,-1.0,2294.0
avgTimeOnStepProblemPS,-1.0,4446.0
nTotalHint,0.0,1907.0
nTotalHintSession,0.0,1907.0
nHintKC,0.0,484.0
nHintSessionKC,0.0,484.0
nTotalHintProblem,0.0,235.0
AvgTimeOnStepWithHint,-1.0,4210.0
durationSinceLastHint,-28774.0,777376.0
stepsSinceLastHint,0.0,488.0
stepsSinceLastHintKC,0.0,337.0
totalTimeStepsHint,0.0,19050.0
totalStepsHint,0.0,244.0
earlyTraining,0.0,0.0
simpleProblem,0.0,0.0
nKCs,0.0,360.0
nKCsAsPS,0.0,269.0
nKCsSession,0.0,360.0
nKCsSessionPS,0.0,216.0
newLevelDifficulty,0.0,1.0
performanceDifficulty,0.0,0.591897
nPrincipleInProblem,5.0,6.0
quantitativeDegree,0.2826086956521739,0.35135135100000003
nTutorConceptsSession,0.0,1707.0
tutAverageConcepts,0.653614458,4.523809523809524
tutAverageConceptsSession,0.0,5.897297297000001
tutConceptsToWords,0.024695682634206143,0.067542214
tutConceptsToWordsSession,0.0,0.098176718
tutAverageWords,20.97904192,102.21568627450979
tutAverageWordsSession,0.0,110.6054054
tutAverageWordsPS,17.75675676,139.51724137931035
tutAverageWordsSessionPS,0.0,165.5
nDistinctPrincipleInSession,0.0,9.0
nPrincipleInSession,0.0,97.0
principleDifficulty,1.0,12.0
principleCategory,0.0,2.0
problemDifficuly,27.0,31.0
problemCompexity,3.0,4.0
problemCategory,1.0,1.0
pctCorrect,0.15228426395939088,0.9875
pctOverallCorrect,0.3893557422969188,0.991712707
nCorrectKC,0.0,241.0
nIncorrectKC,0.0,135.0
pctCorrectKC,-1.0,1.0
pctOverallCorrectKC,-1.0,1.0
nCorrectKCSession,0.0,197.0
nIncorrectKCSession,0.0,135.0
pctCorrectSession,-1.0,1.0
pctCorrectKCSession,-1.0,1.0
pctOverallCorrectSession,-1.0,1.0
pctOverallCorrectKCSession,-1.0,1.0
nStepSinceLastWrong,0.0,307.0
nStepSinceLastWrongKC,0.0,190.0
nWEStepSinceLastWrong,0.0,228.0
nWEStepSinceLastWrongKC,0.0,166.0
nStepSinceLastWrongSession,0.0,307.0
nStepSinceLastWrongKCSession,0.0,190.0
nWEStepSinceLastWrongSession,0.0,228.0
nWEStepSinceLastWrongKCSession,0.0,166.0
timeSinceLastWrongStepKC,-28800.0,1304145.0
nCorrectPSStepSinceLastWrong,0.0,135.0
nCorrectPSStepSinceLastWrongKC,0.0,187.0
nCorrectPSStepSinceLastWrongKCSession,0.0,187.0
pctCorrectPrin,0.0,0.975
pctCorrectPrinSession,-1.0,1.0
nStepSinceLastWrongPrin,0.0,120.0
nWEStepSinceLastWrongPrin,0.0,110.0
nStepSinceLastWrongPrinSession,0.0,120.0
nWEStepSinceLastWrongPrinSession,0.0,110.0
nCorrectPSStepSinceLastWrongPrin,0.0,53.0
nCorrectPSStepSinceLastWrongPrinSession,0.0,53.0
pctCorrectFirst,0.0,1.0
nStepsSinceLastWrongFirst,0.0,20.0
nWEStepSinceLastWrongFirst,0.0,16.0
nCorrectPSStepSinceLastWrongFirst,0.0,19.0
pctCorrectLastProb,-1.0,1.0
pctCorrectLastProbPrin,-1.0,1.0
pctCorrectAdd2Select,-1.0,1.0
pctCorrectAdd3Select,-1.0,1.0
pctCorrectCompSelect,0.0,1.0
pctCorrectDeMorSelect,-1.0,1.0
pctCorrectIndeSelect,0.0,1.0
pctCorrectMutualSelect,-1.0,1.0
pctCorrectAdd2Apply,-1.0,1.0
pctCorrectAdd3Apply,-1.0,1.0
pctCorrectCompApply,0.0,1.0
pctCorrectDeMorApply,-1.0,1.0
pctCorrectIndeApply,0.0,1.0
pctCorrectMutualApply,-1.0,1.0
pctCorrectAdd2All,-1.0,1.0
pctCorrectAdd3All,-1.0,1.0
pctCorrectCompAll,0.0,1.0
pctCorrectDeMorAll,-1.0,1.0
pctCorrectIndeAll,0.0,1.0
pctCorrectMutualAll,-1.0,1.0
pctCorrectSelectMain,0.04444444444444445,1.0
nAdd2Prob,0.0,0.0
nAdd3Prob,0.0,0.0
nDeMorProb,0.0,0.0
nIndeProb,0.0,0.0
nCompProb,1.0,1.0
nMutualProb,0.0,0.0
